基金全称,南方恒生生物科技交易型开放式指数证券投资基金发起式联接基金(QDII),基金简称,南方恒生生物科技ETF发起联接(QDII)C
基金代码,018079（前端）基金类型指数型-海外股票,基金类型,指数型-海外股票
发行日期,2023年05月15日,成立日期/规模,2023年05月30日 / 0.139亿份
资产规模,0.29亿元（截止至：2025年06月30日）份额规模0.2457亿份（截止至：2025年06月30日）,份额规模,0.2457亿份（截止至：2025年06月30日）
基金管理人,南方基金,基金托管人,农业银行
基金经理人,朱恒红,成立来分红,每份累计0.00元（0次）
管理费率,0.50%（每年）,托管费率,0.15%（每年）
销售服务费率,0.30%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,经估值汇率调整后的恒生生物科技指数收益率*95%+银行活期存款利率(税后)*5%,跟踪标的,恒生生物科技指数
