基金全称,华夏黄金交易型开放式证券投资基金发起式联接基金,基金简称,华夏黄金ETF联接C
基金代码,008702（前端）基金类型指数型-其他,基金类型,指数型-其他
发行日期,2020年04月13日,成立日期/规模,2020年07月16日 / 1.219亿份
资产规模,25.32亿元（截止至：2025年06月30日）份额规模15.1787亿份（截止至：2025年06月30日）,份额规模,15.1787亿份（截止至：2025年06月30日）
基金管理人,华夏基金,基金托管人,建设银行
基金经理人,荣膺,成立来分红,每份累计0.00元（0次）
管理费率,0.15%（每年）,托管费率,0.05%（每年）
销售服务费率,0.35%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,上海黄金交易所黄金现货实盘合约Au9999价格收益率*95%+人民币活期存款税后利率*5%,跟踪标的,黄金9999
