基金全称,鹏华国证2000指数增强型证券投资基金,基金简称,鹏华国证2000指数增强C
基金代码,017893（前端）基金类型指数型-股票,基金类型,指数型-股票
发行日期,2023年02月13日,成立日期/规模,2023年02月21日 / 4.706亿份
资产规模,0.79亿元（截止至：2025年06月30日）份额规模0.6167亿份（截止至：2025年06月30日）,份额规模,0.6167亿份（截止至：2025年06月30日）
基金管理人,鹏华基金,基金托管人,华泰证券
基金经理人,苏俊杰,成立来分红,每份累计0.00元（0次）
管理费率,1.00%（每年）,托管费率,0.10%（每年）
销售服务费率,0.40%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,国证2000指数收益率*95%+银行活期存款利率(税后)*5%,跟踪标的,国证2000指数
