基金全称,富国创新企业灵活配置混合型证券投资基金(LOF),基金简称,富国创新企业灵活配置混合(LOF)C
基金代码,015849（前端）基金类型混合型-灵活,基金类型,混合型-灵活
发行日期,2022年06月09日,成立日期/规模,2022年06月13日 / --
资产规模,2.26亿元（截止至：2025年06月30日）份额规模1.1935亿份（截止至：2025年06月30日）,份额规模,1.1935亿份（截止至：2025年06月30日）
基金管理人,富国基金,基金托管人,招商银行
基金经理人,孙权,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.60%（每年）,最高认购费率,---（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,中证TMT产业主题指数收益率*60%+中证全债指数收益率*40%,跟踪标的,该基金无跟踪标的
