基金全称,招商中证500等权重指数增强型证券投资基金,基金简称,招商中证500等权重指数增强C
基金代码,009727（前端）基金类型指数型-股票,基金类型,指数型-股票
发行日期,2020年12月01日,成立日期/规模,2020年12月23日 / 2.528亿份
资产规模,2.51亿元（截止至：2025年06月30日）份额规模1.853亿份（截止至：2025年06月30日）,份额规模,1.853亿份（截止至：2025年06月30日）
基金管理人,招商基金,基金托管人,中信证券
基金经理人,蔡振,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.80%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,中证500等权重指数收益率*95%+中国人民银行人民币活期存款利率(税后)*5%,跟踪标的,中证500等权重指数
