基金全称,万家沪港深蓝筹混合型证券投资基金,基金简称,万家沪港深蓝筹混合C
基金代码,007183（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2021年10月15日,成立日期/规模,2021年11月01日 / 3.206亿份
资产规模,0.23亿元（截止至：2025年09月30日）份额规模0.2534亿份（截止至：2025年09月30日）,份额规模,0.2534亿份（截止至：2025年09月30日）
基金管理人,万家基金,基金托管人,工商银行
基金经理人,刘宏达,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.50%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,恒生指数收益率*65%+中证全债指数收益率*25%+沪深300指数收益率*10%,跟踪标的,该基金无跟踪标的
