基金全称,万家趋势领先混合型证券投资基金,基金简称,万家趋势领先混合A
基金代码,018999（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2024年01月10日,成立日期/规模,2024年02月01日 / 3.859亿份
资产规模,0.62亿元（截止至：2025年09月30日）份额规模0.3498亿份（截止至：2025年09月30日）,份额规模,0.3498亿份（截止至：2025年09月30日）
基金管理人,万家基金,基金托管人,农业银行
基金经理人,叶勇,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）
业绩比较基准,沪深300指数收益率*80%+恒生指数收益率*10%+中债新综合指数(全价)收益率*10%,跟踪标的,该基金无跟踪标的
