基金全称,中航新起航灵活配置混合型证券投资基金,基金简称,中航新起航灵活配置混合A
基金代码,005537（前端）基金类型混合型-灵活,基金类型,混合型-灵活
发行日期,2018年01月18日,成立日期/规模,2018年04月23日 / 2.529亿份
资产规模,0.20亿元（截止至：2025年06月30日）份额规模0.3083亿份（截止至：2025年06月30日）,份额规模,0.3083亿份（截止至：2025年06月30日）
基金管理人,中航基金,基金托管人,兴业银行
基金经理人,韩浩,成立来分红,每份累计0.00元（0次）
管理费率,0.70%（每年）,托管费率,0.10%（每年）
销售服务费率,0.00%（每年）,最高认购费率,0.80%（前端）天天基金优惠费率：0.08%（前端）
业绩比较基准,沪深300指数收益率×50% + 中债综合指数收益率×50%,跟踪标的,该基金无跟踪标的
