基金全称,东吴阿尔法灵活配置混合型证券投资基金,基金简称,东吴阿尔法灵活配置混合A
基金代码,000531（前端）基金类型混合型-灵活,基金类型,混合型-灵活
发行日期,2014年02月24日,成立日期/规模,2014年03月19日 / 7.768亿份
资产规模,0.25亿元（截止至：2025年06月30日）份额规模0.2062亿份（截止至：2025年06月30日）,份额规模,0.2062亿份（截止至：2025年06月30日）
基金管理人,东吴基金,基金托管人,农业银行
基金经理人,徐慢,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）
业绩比较基准,沪深300指数*65%+中国债券综合全价指数*35%,跟踪标的,该基金无跟踪标的
