基金全称,永赢上证科创板100指数增强型发起式证券投资基金,基金简称,永赢上证科创板100指数增强发起A
基金代码,021278（前端）基金类型指数型-股票,基金类型,指数型-股票
发行日期,2024年05月20日,成立日期/规模,2024年05月28日 / 0.210亿份
资产规模,0.17亿元（截止至：2025年06月30日）份额规模0.132亿份（截止至：2025年06月30日）,份额规模,0.132亿份（截止至：2025年06月30日）
基金管理人,永赢基金,基金托管人,招商银行
基金经理人,张璐、钱厚翔,成立来分红,每份累计0.00元（0次）
管理费率,0.80%（每年）,托管费率,0.15%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.00%（前端）
业绩比较基准,上证科创板100指数收益率*95%+银行活期存款利率(税后)*5%,跟踪标的,上证科创板100指数
