基金全称,建信裕利灵活配置混合型证券投资基金,基金简称,建信裕利灵活配置混合
基金代码,002281（前端）基金类型混合型-灵活,基金类型,混合型-灵活
发行日期,2015年12月23日,成立日期/规模,2016年01月04日 / 49.784亿份
资产规模,1.62亿元（截止至：2025年09月30日）份额规模0.529亿份（截止至：2025年09月30日）,份额规模,0.529亿份（截止至：2025年09月30日）
基金管理人,建信基金,基金托管人,交通银行
基金经理人,江映德,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,---（每年）,最高认购费率,1.00%（前端）
业绩比较基准,沪深300指数收益率*65%+中债总财富(总值)指数收益率*35%,跟踪标的,该基金无跟踪标的
