基金全称,嘉实清洁能源股票型发起式证券投资基金,基金简称,嘉实清洁能源股票发起式C
基金代码,017074（前端）基金类型股票型,基金类型,股票型
发行日期,2022年11月14日,成立日期/规模,2022年11月22日 / 0.104亿份
资产规模,0.29亿元（截止至：2025年06月30日）份额规模0.4126亿份（截止至：2025年06月30日）,份额规模,0.4126亿份（截止至：2025年06月30日）
基金管理人,嘉实基金,基金托管人,中国银行
基金经理人,李涛、宋阳,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.60%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,中证新能源指数收益率*50%+恒生沪深港清洁能源指数收益率(经汇率调整)*35%+中债综合财富指数收益率*15%,跟踪标的,该基金无跟踪标的
