基金全称,申万菱信智能驱动股票型证券投资基金,基金简称,申万菱信智能驱动股票C
基金代码,015159（前端）基金类型股票型,基金类型,股票型
发行日期,2018年05月10日,成立日期/规模,2022年02月25日 / --
资产规模,1.08亿元（截止至：2025年06月30日）份额规模0.3848亿份（截止至：2025年06月30日）,份额规模,0.3848亿份（截止至：2025年06月30日）
基金管理人,申万菱信基金,基金托管人,农业银行
基金经理人,付娟、卜忠林,成立来分红,每份累计0.46元（1次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.40%（每年）,最高认购费率,---（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,中证800指数收益率*85%+中证综合债指数收益率*15%,跟踪标的,该基金无跟踪标的
