基金全称,圆信永丰大湾区主题混合型证券投资基金,基金简称,圆信永丰大湾区A
基金代码,009055（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2020年04月15日,成立日期/规模,2020年05月14日 / 2.186亿份
资产规模,0.28亿元（截止至：2025年06月30日）份额规模0.1878亿份（截止至：2025年06月30日）,份额规模,0.1878亿份（截止至：2025年06月30日）
基金管理人,圆信永丰基金,基金托管人,建设银行
基金经理人,汪萍,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）
业绩比较基准,中证粤港澳大湾区发展主题指数收益率×70%+上证国债指数收益率×30%,跟踪标的,该基金无跟踪标的
