基金全称,海富通消费优选混合型证券投资基金,基金简称,海富通消费优选混合C
基金代码,010422（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2021年03月08日,成立日期/规模,2021年04月14日 / 3.470亿份
资产规模,1.45亿元（截止至：2025年06月30日）份额规模1.3519亿份（截止至：2025年06月30日）,份额规模,1.3519亿份（截止至：2025年06月30日）
基金管理人,海富通基金,基金托管人,招商银行
基金经理人,刘海啸,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.50%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,中证内地消费主题指数收益率*80%+中证全债指数收益率*20%,跟踪标的,该基金无跟踪标的
