基金全称,融通核心价值混合型证券投资基金(QDII),基金简称,融通核心价值混合C
基金代码,014127（前端）基金类型QDII-混合灵活,基金类型,QDII-混合灵活
发行日期,2013年01月14日,成立日期/规模,2021年11月22日 / --
资产规模,0.09亿元（截止至：2025年09月30日）份额规模0.0815亿份（截止至：2025年09月30日）,份额规模,0.0815亿份（截止至：2025年09月30日）
基金管理人,融通基金,基金托管人,工商银行
基金经理人,何博、程越楷,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.50%（每年）,最高认购费率,---（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,恒生指数(Hang Seng Index)收益率*70%+中债综合全价(总值)指数收益率*30%,跟踪标的,该基金无跟踪标的
