基金全称,申万菱信乐融一年持有期混合型证券投资基金,基金简称,申万菱信乐融一年持有混合A
基金代码,015630（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2022年05月23日,成立日期/规模,2022年06月17日 / 4.018亿份
资产规模,2.18亿元（截止至：2025年06月30日）份额规模1.4295亿份（截止至：2025年06月30日）,份额规模,1.4295亿份（截止至：2025年06月30日）
基金管理人,申万菱信基金,基金托管人,农业银行
基金经理人,付娟、刘含,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）
业绩比较基准,沪深300指数收益率*65%+恒生指数收益率*10%+中证全债指数收益率*25%,跟踪标的,该基金无跟踪标的
