基金全称,华安景气领航混合型证券投资基金,基金简称,华安景气领航混合A
基金代码,017303（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2023年04月10日,成立日期/规模,2023年04月27日 / 54.531亿份
资产规模,22.51亿元（截止至：2025年06月30日）份额规模21.9342亿份（截止至：2025年06月30日）,份额规模,21.9342亿份（截止至：2025年06月30日）
基金管理人,华安基金,基金托管人,工商银行
基金经理人,胡宜斌,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）
业绩比较基准,中证800指数收益率*65%+中证港股通综合指数收益率*15%+中债综合全价指数收益率*20%,跟踪标的,该基金无跟踪标的
