基金全称,华商数字经济混合型证券投资基金,基金简称,华商数字经济混合A
基金代码,020408（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2024年06月03日,成立日期/规模,2024年06月25日 / 3.238亿份
资产规模,0.48亿元（截止至：2025年06月30日）份额规模0.3512亿份（截止至：2025年06月30日）,份额规模,0.3512亿份（截止至：2025年06月30日）
基金管理人,华商基金,基金托管人,农业银行
基金经理人,刘力,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）
业绩比较基准,中证数字经济主题指数收益率*70%+中证港股通综合指数收益率*10%+中国债券总指数收益率*20%,跟踪标的,该基金无跟踪标的
