基金全称,富国高新技术产业混合型证券投资基金,基金简称,富国高新技术产业混合
基金代码,100060（前端）、000159（后端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2012年06月04日,成立日期/规模,2012年06月27日 / 3.412亿份
资产规模,9.45亿元（截止至：2025年06月30日）份额规模4.0695亿份（截止至：2025年06月30日）,份额规模,4.0695亿份（截止至：2025年06月30日）
基金管理人,富国基金,基金托管人,工商银行
基金经理人,李元博,成立来分红,每份累计0.65元（2次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,---（每年）,最高认购费率,1.20%（前端）
业绩比较基准,中证800指数收益率×80%+中债综合指数收益率×20%,跟踪标的,该基金无跟踪标的
