基金全称,红土创新智能制造混合型发起式证券投资基金,基金简称,红土创新智能制造混合型发起式C
基金代码,021957（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2021年08月19日,成立日期/规模,2024年08月07日 / --
资产规模,0.03亿元（截止至：2025年06月30日）份额规模0.0406亿份（截止至：2025年06月30日）,份额规模,0.0406亿份（截止至：2025年06月30日）
基金管理人,红土创新基金,基金托管人,华夏银行
基金经理人,盖俊龙,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.40%（每年）,最高认购费率,---（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,中证智能制造主题指数收益率*60%+中证全债指数收益率*30%+中证港股通综合指数收益率*10%,跟踪标的,该基金无跟踪标的
