基金全称,工银瑞信黄金交易型开放式证券投资基金联接基金,基金简称,工银黄金ETF联接C
基金代码,008143（前端）基金类型指数型-其他,基金类型,指数型-其他
发行日期,2020年04月09日,成立日期/规模,2020年05月21日 / 2.268亿份
资产规模,7.44亿元（截止至：2025年06月30日）份额规模4.3132亿份（截止至：2025年06月30日）,份额规模,4.3132亿份（截止至：2025年06月30日）
基金管理人,工银瑞信基金,基金托管人,农业银行
基金经理人,赵栩,成立来分红,每份累计0.00元（0次）
管理费率,0.15%（每年）,托管费率,0.05%（每年）
销售服务费率,0.35%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,上海黄金交易所Au99.99现货实盘合约收盘价收益率*95%+人民币活期存款利率(税后)*5%,跟踪标的,黄金9999
