基金全称,信澳领先增长混合型证券投资基金,基金简称,信澳领先增长混合A
基金代码,610001（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2007年03月05日,成立日期/规模,2007年03月08日 / 83.344亿份
资产规模,7.74亿元（截止至：2025年06月30日）份额规模5.1156亿份（截止至：2025年06月30日）,份额规模,5.1156亿份（截止至：2025年06月30日）
基金管理人,信达澳亚基金,基金托管人,建设银行
基金经理人,齐兴方,成立来分红,每份累计0.55元（4次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）
业绩比较基准,沪深300指数收益率*80%+中国债券总指数收益率*20%,跟踪标的,该基金无跟踪标的
