基金全称,汇添富中证芯片产业指数增强型发起式证券投资基金,基金简称,汇添富中证芯片产业指数增强发起式A
基金代码,014193（前端）基金类型指数型-股票,基金类型,指数型-股票
发行日期,2021年11月22日,成立日期/规模,2021年12月02日 / 1.182亿份
资产规模,7.80亿元（截止至：2025年06月30日）份额规模9.283亿份（截止至：2025年06月30日）,份额规模,9.283亿份（截止至：2025年06月30日）
基金管理人,汇添富基金,基金托管人,民生银行
基金经理人,马磊,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.50%（前端）天天基金优惠费率：0.15%（前端）
业绩比较基准,中证芯片产业指数收益率*95%+银行人民币活期存款利率(税后)*5%,跟踪标的,中证芯片产业指数
