基金全称,广发中小盘精选混合型证券投资基金,基金简称,广发中小盘精选混合A
基金代码,005598（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2018年04月09日,成立日期/规模,2018年05月04日 / 8.118亿份
资产规模,24.89亿元（截止至：2025年06月30日）份额规模12.1431亿份（截止至：2025年06月30日）,份额规模,12.1431亿份（截止至：2025年06月30日）
基金管理人,广发基金,基金托管人,中国银行
基金经理人,陈韫中,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）天天基金优惠费率：0.12%（前端）
业绩比较基准,中证500指数收益率*35%+人民币计价的恒生综合中小型股指数收益率*35%+中证全债指数收益率*30%,跟踪标的,该基金无跟踪标的
