基金全称,易方达信息行业精选股票型证券投资基金,基金简称,易方达信息行业精选股票A
基金代码,010013（前端）基金类型股票型,基金类型,股票型
发行日期,2020年08月10日,成立日期/规模,2020年08月24日 / 106.028亿份
资产规模,23.79亿元（截止至：2025年06月30日）份额规模24.5991亿份（截止至：2025年06月30日）,份额规模,24.5991亿份（截止至：2025年06月30日）
基金管理人,易方达基金,基金托管人,建设银行
基金经理人,郑希,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）
业绩比较基准,中证科技传媒通信150指数收益率*65%+中证港股通综合指数收益率*20%+中债总指数收益率*15%,跟踪标的,该基金无跟踪标的
