基金全称,诺安研究优选混合型证券投资基金,基金简称,诺安研究优选混合A
基金代码,008185（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2020年04月07日,成立日期/规模,2020年05月09日 / 11.750亿份
资产规模,0.71亿元（截止至：2025年06月30日）份额规模0.9003亿份（截止至：2025年06月30日）,份额规模,0.9003亿份（截止至：2025年06月30日）
基金管理人,诺安基金,基金托管人,交通银行
基金经理人,邓心怡,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）天天基金优惠费率：0.12%（前端）
业绩比较基准,沪深300指数收益率*70%+中证全债指数收益率*30%,跟踪标的,该基金无跟踪标的
