基金全称,九泰天富改革新动力灵活配置混合型证券投资基金,基金简称,九泰天富改革混合C
基金代码,009912（前端）基金类型混合型-灵活,基金类型,混合型-灵活
发行日期,2015年05月27日,成立日期/规模,2020年09月18日 / --
资产规模,0.01亿元（截止至：2025年06月30日）份额规模0.0051亿份（截止至：2025年06月30日）,份额规模,0.0051亿份（截止至：2025年06月30日）
基金管理人,九泰基金,基金托管人,工商银行
基金经理人,霍霄,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.20%（每年）,最高认购费率,---（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,沪深300指数收益率×60%+中国债券总指数收益率×40%,跟踪标的,该基金无跟踪标的
