基金全称,嘉实信息产业股票型发起式证券投资基金,基金简称,嘉实信息产业股票发起式C
基金代码,017489（前端）基金类型股票型,基金类型,股票型
发行日期,2022年12月08日,成立日期/规模,2022年12月16日 / 0.110亿份
资产规模,8.49亿元（截止至：2025年06月30日）份额规模5.988亿份（截止至：2025年06月30日）,份额规模,5.988亿份（截止至：2025年06月30日）
基金管理人,嘉实基金,基金托管人,招商银行
基金经理人,李涛,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.60%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,中证TMT产业主题指数收益率*80%+恒生指数收益率*10%+中证全债指数收益率*10%,跟踪标的,该基金无跟踪标的
