基金全称,汇添富数字经济核心产业一年持有期混合型证券投资基金,基金简称,汇添富数字经济核心产业一年持有期混合D
基金代码,016159（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2022年07月28日,成立日期/规模,2022年10月31日 / 2.208亿份
资产规模,0.00亿元（截止至：2025年06月30日）份额规模0.0041亿份（截止至：2025年06月30日）,份额规模,0.0041亿份（截止至：2025年06月30日）
基金管理人,汇添富基金,基金托管人,工商银行
基金经理人,郑乐凯,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.40%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,0.00%（前端）
业绩比较基准,中证文体指数收益率*20%+中证TMT产业主题指数收益率*20%+中证消费服务领先指数收益率*20%+恒生指数收益率(使用估值汇率折算)*20%+中债综合指数收益率*20%,跟踪标的,该基金无跟踪标的
