基金全称,东方红多元策略混合型证券投资基金,基金简称,东方红多元策略混合C
基金代码,017494（前端）基金类型混合型-灵活,基金类型,混合型-灵活
发行日期,2013年02月27日,成立日期/规模,2022年12月05日 / --
资产规模,0.02亿元（截止至：2025年06月30日）份额规模0.0069亿份（截止至：2025年06月30日）,份额规模,0.0069亿份（截止至：2025年06月30日）
基金管理人,东方红资产管理,基金托管人,工商银行
基金经理人,蒋娜,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.50%（每年）,最高认购费率,---（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,沪深300指数收益率*70%+恒生指数收益率(经汇率估值调整)*10%+银行活期存款利率(税后)*20%,跟踪标的,该基金无跟踪标的
