基金全称,中海魅力长三角灵活配置混合型证券投资基金,基金简称,中海魅力长三角混合
基金代码,001864（前端）基金类型混合型-灵活,基金类型,混合型-灵活
发行日期,2016年02月15日,成立日期/规模,2016年03月30日 / 2.343亿份
资产规模,0.21亿元（截止至：2025年06月30日）份额规模0.0774亿份（截止至：2025年06月30日）,份额规模,0.0774亿份（截止至：2025年06月30日）
基金管理人,中海基金,基金托管人,中国银行
基金经理人,姚炜,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,---（每年）,最高认购费率,1.20%（前端）
业绩比较基准,中证长三角龙头企业指数收益率×60%+中证全债指数收益率×40%,跟踪标的,该基金无跟踪标的
