基金全称,恒生前海高端制造混合型证券投资基金,基金简称,恒生前海高端制造混合A
基金代码,013383（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2022年05月30日,成立日期/规模,2022年06月29日 / 2.134亿份
资产规模,0.06亿元（截止至：2025年06月30日）份额规模0.0854亿份（截止至：2025年06月30日）,份额规模,0.0854亿份（截止至：2025年06月30日）
基金管理人,恒生前海基金,基金托管人,恒丰银行
基金经理人,龙江伟,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）天天基金优惠费率：0.12%（前端）
业绩比较基准,中证高端装备制造指数收益率*65%+中债综合全价(总值)指数收益率*30%+恒生指数收益率(使用估值汇率折算)*5%,跟踪标的,该基金无跟踪标的
