基金全称,北信瑞丰优势行业股票型证券投资基金,基金简称,北信瑞丰优势行业股票
基金代码,013242（前端）基金类型股票型,基金类型,股票型
发行日期,2021年09月01日,成立日期/规模,2021年09月27日 / 2.111亿份
资产规模,0.63亿元（截止至：2025年09月30日）份额规模0.4604亿份（截止至：2025年09月30日）,份额规模,0.4604亿份（截止至：2025年09月30日）
基金管理人,北信瑞丰,基金托管人,建设银行
基金经理人,程敏,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,---（每年）,最高认购费率,1.20%（前端）天天基金优惠费率：0.12%（前端）
业绩比较基准,沪深300指数收益率*80%+中证综合债指数收益率*20%,跟踪标的,该基金无跟踪标的
