基金全称,西藏东财中证通信技术主题指数型发起式证券投资基金,基金简称,东财通信A
基金代码,008326（前端）基金类型指数型-股票,基金类型,指数型-股票
发行日期,2020年01月02日,成立日期/规模,2020年01月20日 / 10.203亿份
资产规模,0.90亿元（截止至：2025年06月30日）份额规模0.6347亿份（截止至：2025年06月30日）,份额规模,0.6347亿份（截止至：2025年06月30日）
基金管理人,东财基金,基金托管人,浦发银行
基金经理人,姚楠燕,成立来分红,每份累计0.00元（0次）
管理费率,0.50%（每年）,托管费率,0.05%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.00%（前端）
业绩比较基准,中证通信技术主题指数收益率×95%+银行活期存款利率(税后)×5%,跟踪标的,中证通信技术主题指数
