基金全称,西部利得景瑞灵活配置混合型证券投资基金,基金简称,西部利得景瑞灵活配置混合A
基金代码,673060（前端）基金类型混合型-灵活,基金类型,混合型-灵活
发行日期,2016年08月22日,成立日期/规模,2016年08月25日 / 2.001亿份
资产规模,1.86亿元（截止至：2025年06月30日）份额规模0.7169亿份（截止至：2025年06月30日）,份额规模,0.7169亿份（截止至：2025年06月30日）
基金管理人,西部利得基金,基金托管人,民生银行
基金经理人,陈保国,成立来分红,每份累计0.10元（1次）
管理费率,0.60%（每年）,托管费率,0.15%（每年）
销售服务费率,0.00%（每年）,最高认购费率,0.40%（前端）天天基金优惠费率：0.04%（前端）
业绩比较基准,沪深300指数收益率*50%+中证全债指数收益率*50%,跟踪标的,该基金无跟踪标的
