基金全称,信澳转型创新股票型证券投资基金,基金简称,信澳转型创新股票C
基金代码,015608（前端）基金类型股票型,基金类型,股票型
发行日期,2015年03月19日,成立日期/规模,2022年06月01日 / --
资产规模,0.73亿元（截止至：2025年06月30日）份额规模0.8016亿份（截止至：2025年06月30日）,份额规模,0.8016亿份（截止至：2025年06月30日）
基金管理人,信达澳亚基金,基金托管人,建设银行
基金经理人,朱然,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.60%（每年）,最高认购费率,---（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,沪深300指数收益率*85%+上证国债指数收益率*15%,跟踪标的,该基金无跟踪标的
