基金全称,宝盈互联网沪港深灵活配置混合型证券投资基金,基金简称,宝盈互联网沪港深混合
基金代码,002482（前端）基金类型混合型-灵活,基金类型,混合型-灵活
发行日期,2016年05月12日,成立日期/规模,2016年06月16日 / 3.455亿份
资产规模,3.14亿元（截止至：2025年06月30日）份额规模1.4008亿份（截止至：2025年06月30日）,份额规模,1.4008亿份（截止至：2025年06月30日）
基金管理人,宝盈基金,基金托管人,建设银行
基金经理人,赵国进,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,---（每年）,最高认购费率,1.20%（前端）
业绩比较基准,中证800指数收益率×55% +恒生综合指数收益率10% +中证综合债券指数收益率×35%,跟踪标的,该基金无跟踪标的
