基金全称,华安CES半导体芯片行业指数型发起式证券投资基金,基金简称,华安CES半导体芯片行业指数发起C
基金代码,012838（前端）基金类型指数型-股票,基金类型,指数型-股票
发行日期,2021年07月21日,成立日期/规模,2021年08月03日 / 0.490亿份
资产规模,1.56亿元（截止至：2025年06月30日）份额规模2.2554亿份（截止至：2025年06月30日）,份额规模,2.2554亿份（截止至：2025年06月30日）
基金管理人,华安基金,基金托管人,招商银行
基金经理人,刘璇子,成立来分红,每份累计0.00元（0次）
管理费率,0.50%（每年）,托管费率,0.10%（每年）
销售服务费率,0.30%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,中华交易服务半导体芯片行业指数收益率*95%+商业银行税后活期存款利率*5%,跟踪标的,中华交易服务半导体芯片行业人民币指数
