基金全称,博时成长臻选混合型证券投资基金,基金简称,博时成长臻选混合C
基金代码,014507（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2022年01月10日,成立日期/规模,2022年01月25日 / 5.264亿份
资产规模,0.42亿元（截止至：2025年06月30日）份额规模0.4241亿份（截止至：2025年06月30日）,份额规模,0.4241亿份（截止至：2025年06月30日）
基金管理人,博时基金,基金托管人,建设银行
基金经理人,陈鹏扬,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.50%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,沪深300指数收益率*60%+中证港股通综合指数(人民币)收益率*15%+中债综合财富(总值)指数收益率*25%,跟踪标的,该基金无跟踪标的
