基金全称,创金合信量化多因子股票型证券投资基金,基金简称,创金合信量化多因子股票C
基金代码,003865（前端）基金类型股票型,基金类型,股票型
发行日期,2015年12月23日,成立日期/规模,2017年01月06日 / --
资产规模,0.09亿元（截止至：2025年06月30日）份额规模0.0813亿份（截止至：2025年06月30日）,份额规模,0.0813亿份（截止至：2025年06月30日）
基金管理人,创金合信基金,基金托管人,工商银行
基金经理人,董梁、黄小虎,成立来分红,每份累计0.63元（2次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.75%（每年）,最高认购费率,---（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,中证1000指数收益率×90%+银行人民币活期存款利率(税后)×10%,跟踪标的,该基金无跟踪标的
