基金全称,华宝中证500指数增强型发起式证券投资基金,基金简称,华宝中证500增强C
基金代码,005608（前端）基金类型指数型-股票,基金类型,指数型-股票
发行日期,2018年04月02日,成立日期/规模,2018年04月19日 / 0.552亿份
资产规模,0.23亿元（截止至：2025年06月30日）份额规模0.193亿份（截止至：2025年06月30日）,份额规模,0.193亿份（截止至：2025年06月30日）
基金管理人,华宝基金,基金托管人,民生银行
基金经理人,喻银尤,成立来分红,每份累计0.00元（0次）
管理费率,1.00%（每年）,托管费率,0.12%（每年）
销售服务费率,0.40%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,中证500指数收益率*95%+银行活期存款利率(税后)*5%,跟踪标的,中证500指数
