基金全称,民生加银周期优选混合型证券投资基金,基金简称,民生加银周期优选混合C
基金代码,011889（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2021年05月10日,成立日期/规模,2021年06月22日 / 2.442亿份
资产规模,0.06亿元（截止至：2025年06月30日）份额规模0.0868亿份（截止至：2025年06月30日）,份额规模,0.0868亿份（截止至：2025年06月30日）
基金管理人,民生加银基金,基金托管人,交通银行
基金经理人,芮定坤,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.40%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,沪深300指数收益率*60%+恒生综合指数收益率*20%+中债综合指数收益率*15%+银行活期存款利率(税后)*5%,跟踪标的,该基金无跟踪标的
