基金全称,交银施罗德先锋混合型证券投资基金,基金简称,交银先锋混合A
基金代码,519698（前端）、519699（后端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2009年03月03日,成立日期/规模,2009年04月10日 / 44.707亿份
资产规模,5.00亿元（截止至：2025年06月30日）份额规模2.6707亿份（截止至：2025年06月30日）,份额规模,2.6707亿份（截止至：2025年06月30日）
基金管理人,交银施罗德基金,基金托管人,农业银行
基金经理人,封晴,成立来分红,每份累计0.53元（7次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）
业绩比较基准,中证700指数*75%+中证综合债券指数*25%,跟踪标的,该基金无跟踪标的
