基金全称,易方达信息产业混合型证券投资基金,基金简称,易方达信息产业混合C
基金代码,019018（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2016年09月01日,成立日期/规模,2023年10月18日 / --
资产规模,8.88亿元（截止至：2025年06月30日）份额规模3.1246亿份（截止至：2025年06月30日）,份额规模,3.1246亿份（截止至：2025年06月30日）
基金管理人,易方达基金,基金托管人,建设银行
基金经理人,郑希,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.50%（每年）,最高认购费率,---（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,中证TMT产业主题指数收益率*70%+一年期人民币定期存款利率(税后)*30%,跟踪标的,该基金无跟踪标的
