基金全称,万家港股通精选混合型证券投资基金,基金简称,万家港股通精选混合A
基金代码,013009（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2021年12月13日,成立日期/规模,2022年01月05日 / 3.509亿份
资产规模,2.24亿元（截止至：2025年09月30日）份额规模1.9411亿份（截止至：2025年09月30日）,份额规模,1.9411亿份（截止至：2025年09月30日）
基金管理人,万家基金,基金托管人,招商银行
基金经理人,刘宏达,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）
业绩比较基准,恒生指数收益率*70%+沪深300指数收益率*10%+中证全债指数收益率*20%,跟踪标的,该基金无跟踪标的
