基金全称,摩根核心成长股票型证券投资基金,基金简称,摩根核心成长股票C
基金代码,015170（前端）基金类型股票型,基金类型,股票型
发行日期,2022年02月18日,成立日期/规模,2022年02月23日 / --
资产规模,0.74亿元（截止至：2025年06月30日）份额规模0.3139亿份（截止至：2025年06月30日）,份额规模,0.3139亿份（截止至：2025年06月30日）
基金管理人,摩根基金(中国),基金托管人,中国银行
基金经理人,李博,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.50%（每年）,最高认购费率,---（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,沪深300指数收益率*85%+中债总指数收益率*15%,跟踪标的,该基金无跟踪标的
