基金全称,富国中证工业4.0指数型证券投资基金(LOF),基金简称,富国中证工业4.0指数(LOF)A
基金代码,161031（主代码）基金类型指数型-股票,基金类型,指数型-股票
发行日期,2015年06月01日,成立日期/规模,2015年06月15日 / 67.871亿份
资产规模,6.52亿元（截止至：2025年06月30日）份额规模6.6789亿份（截止至：2025年06月30日）,份额规模,6.6789亿份（截止至：2025年06月30日）
基金管理人,富国基金,基金托管人,工商银行
基金经理人,张圣贤,成立来分红,每份累计0.00元（0次）
管理费率,1.00%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.00%（前端）
业绩比较基准,中证工业4.0指数收益率*95%+银行人民币活期存款利率(税后)*5%,跟踪标的,中证工业4.0指数
