基金全称,西部利得时代动力混合型发起式证券投资基金,基金简称,西部利得时代动力混合发起C
基金代码,015044（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2022年05月16日,成立日期/规模,2022年05月31日 / 1.543亿份
资产规模,1.02亿元（截止至：2025年06月30日）份额规模0.9654亿份（截止至：2025年06月30日）,份额规模,0.9654亿份（截止至：2025年06月30日）
基金管理人,西部利得基金,基金托管人,兴业银行
基金经理人,张昌平,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.40%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,中债综合财富(总值)指数收益率*40%+沪深300指数收益率*50%+恒生指数收益率(使用估值汇率折算)*10%,跟踪标的,该基金无跟踪标的
