基金全称,交银施罗德持续成长主题混合型证券投资基金,基金简称,交银持续成长主题混合A
基金代码,005001（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2017年11月22日,成立日期/规模,2018年01月12日 / 20.892亿份
资产规模,6.83亿元（截止至：2025年06月30日）份额规模4.6015亿份（截止至：2025年06月30日）,份额规模,4.6015亿份（截止至：2025年06月30日）
基金管理人,交银施罗德基金,基金托管人,工商银行
基金经理人,何帅,成立来分红,每份累计0.14元（3次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）
业绩比较基准,沪深300指数收益率*70%+恒生指数收益率*10%+中证综合债券指数收益率*20%,跟踪标的,该基金无跟踪标的
