基金全称,申万菱信多策略灵活配置混合型证券投资基金,基金简称,申万菱信多策略灵活配置混合A
基金代码,001148（前端）基金类型混合型-灵活,基金类型,混合型-灵活
发行日期,2015年03月26日,成立日期/规模,2015年03月31日 / 31.068亿份
资产规模,1.68亿元（截止至：2025年06月30日）份额规模0.8027亿份（截止至：2025年06月30日）,份额规模,0.8027亿份（截止至：2025年06月30日）
基金管理人,申万菱信基金,基金托管人,华夏银行
基金经理人,梁国柱、高付,成立来分红,每份累计0.20元（3次）
管理费率,0.60%（每年）,托管费率,0.10%（每年）
销售服务费率,0.00%（每年）,最高认购费率,0.60%（前端）
业绩比较基准,50%×沪深300指数收益率 + 50%×中证综合债指数收益率,跟踪标的,该基金无跟踪标的
