基金全称,工银瑞信中证1000指数增强型证券投资基金,基金简称,工银中证1000指数增强A
基金代码,016942（前端）基金类型指数型-股票,基金类型,指数型-股票
发行日期,2023年03月06日,成立日期/规模,2023年03月28日 / 3.010亿份
资产规模,0.31亿元（截止至：2025年06月30日）份额规模0.277亿份（截止至：2025年06月30日）,份额规模,0.277亿份（截止至：2025年06月30日）
基金管理人,工银瑞信基金,基金托管人,浙商银行
基金经理人,何顺,成立来分红,每份累计0.00元（0次）
管理费率,1.00%（每年）,托管费率,0.10%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）天天基金优惠费率：0.12%（前端）
业绩比较基准,中证1000指数收益率*95%+银行人民币活期存款利率(税后)*5%,跟踪标的,中证1000指数
