基金全称,中欧红利优享灵活配置混合型证券投资基金,基金简称,中欧红利优享混合C
基金代码,004815（前端）基金类型混合型-灵活,基金类型,混合型-灵活
发行日期,2018年01月17日,成立日期/规模,2018年04月19日 / 2.440亿份
资产规模,46.06亿元（截止至：2025年06月30日）份额规模26.5012亿份（截止至：2025年06月30日）,份额规模,26.5012亿份（截止至：2025年06月30日）
基金管理人,中欧基金,基金托管人,招商银行
基金经理人,蓝小康,成立来分红,每份累计0.27元（4次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.80%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,中证沪港深高股息精选指数收益率×80%+中债综合指数收益率×20%,跟踪标的,该基金无跟踪标的
