基金全称,中金进取回报灵活配置混合型集合资产管理计划,基金简称,中金进取回报混合C
基金代码,920928（前端）基金类型混合型-灵活,基金类型,混合型-灵活
发行日期,2009年07月06日,成立日期/规模,2020年12月24日 / --
资产规模,0.60亿元（截止至：2025年09月30日）份额规模0.4831亿份（截止至：2025年09月30日）,份额规模,0.4831亿份（截止至：2025年09月30日）
基金管理人,中金公司,基金托管人,建设银行
基金经理人,冯达,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.40%（每年）,最高认购费率,---（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,中债新综合全价指数收益率*55%+中证800指数收益率*35%+恒生指数收益率*5%+金融机构人民币活期存款基准利率(税后)*5%,跟踪标的,该基金无跟踪标的
