基金全称,银华中小盘精选混合型证券投资基金,基金简称,银华中小盘混合
基金代码,180031（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2012年05月24日,成立日期/规模,2012年06月20日 / 2.603亿份
资产规模,26.38亿元（截止至：2025年06月30日）份额规模10.7875亿份（截止至：2025年06月30日）,份额规模,10.7875亿份（截止至：2025年06月30日）
基金管理人,银华基金,基金托管人,工商银行
基金经理人,李晓星、张萍、杜宇,成立来分红,每份累计2.31元（6次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,---（每年）,最高认购费率,1.20%（前端）
业绩比较基准,中证500指数收益率*80%+中证综合债指数收益率*20%,跟踪标的,该基金无跟踪标的
