基金全称,博时智选量化多因子股票型证券投资基金,基金简称,博时智选量化多因子股票A
基金代码,013465（前端）基金类型股票型,基金类型,股票型
发行日期,2021年10月18日,成立日期/规模,2021年11月02日 / 4.735亿份
资产规模,2.19亿元（截止至：2025年06月30日）份额规模1.9348亿份（截止至：2025年06月30日）,份额规模,1.9348亿份（截止至：2025年06月30日）
基金管理人,博时基金,基金托管人,浙商银行
基金经理人,刘钊,成立来分红,每份累计0.23元（6次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）
业绩比较基准,中证1000指数收益率*90%+中债综合财富(总值)指数收益率*5%+活期存款收益率*5%,跟踪标的,该基金无跟踪标的
