基金全称,招商量化精选股票型发起式证券投资基金,基金简称,招商量化精选股票C
基金代码,007950（前端）基金类型股票型,基金类型,股票型
发行日期,2016年02月18日,成立日期/规模,2019年09月11日 / --
资产规模,21.36亿元（截止至：2025年06月30日）份额规模7.6538亿份（截止至：2025年06月30日）,份额规模,7.6538亿份（截止至：2025年06月30日）
基金管理人,招商基金,基金托管人,中国银行
基金经理人,王平,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.60%（每年）,最高认购费率,---（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,中证500指数收益率×80%+中债综合指数收益率×20%,跟踪标的,该基金无跟踪标的
