基金全称,红土创新新科技股票型发起式证券投资基金,基金简称,红土创新新科技股票
基金代码,006265（前端）基金类型股票型,基金类型,股票型
发行日期,2018年08月15日,成立日期/规模,2018年09月14日 / 0.363亿份
资产规模,1.62亿元（截止至：2025年06月30日）份额规模0.5524亿份（截止至：2025年06月30日）,份额规模,0.5524亿份（截止至：2025年06月30日）
基金管理人,红土创新基金,基金托管人,工商银行
基金经理人,盖俊龙,成立来分红,每份累计0.05元（1次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,---（每年）,最高认购费率,1.20%（前端）天天基金优惠费率：0.12%（前端）
业绩比较基准,中证TMT产业主题指数收益率*80%+中证综合债指数收益率*20%,跟踪标的,该基金无跟踪标的
