基金全称,金鹰核心资源混合型证券投资基金,基金简称,金鹰核心资源混合C
基金代码,019092（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2023年08月24日,成立日期/规模,2023年08月25日 / --
资产规模,1.61亿元（截止至：2025年06月30日）份额规模0.7138亿份（截止至：2025年06月30日）,份额规模,0.7138亿份（截止至：2025年06月30日）
基金管理人,金鹰基金,基金托管人,工商银行
基金经理人,陈颖,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.60%（每年）,最高认购费率,---（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,沪深300指数收益率*75%+中证全债指数收益率*25%,跟踪标的,该基金无跟踪标的
