基金全称,创金合信北证50成份指数增强型证券投资基金,基金简称,创金合信北证50成份指数增强C
基金代码,019994（前端）基金类型指数型-股票,基金类型,指数型-股票
发行日期,2023年12月18日,成立日期/规模,2023年12月29日 / 3.152亿份
资产规模,7.04亿元（截止至：2025年06月30日）份额规模4.3016亿份（截止至：2025年06月30日）,份额规模,4.3016亿份（截止至：2025年06月30日）
基金管理人,创金合信基金,基金托管人,北京银行
基金经理人,董梁、黄小虎,成立来分红,每份累计0.00元（0次）
管理费率,0.80%（每年）,托管费率,0.10%（每年）
销售服务费率,0.30%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,北证50成份指数收益率*90%+银行活期存款利率(税后)*10%,跟踪标的,北证50成份指数
