基金全称,华宝致远混合型证券投资基金(QDII),基金简称,华宝致远混合(QDII)C
基金代码,008254（前端）基金类型QDII-混合偏股,基金类型,QDII-混合偏股
发行日期,2019年11月22日,成立日期/规模,2019年11月27日 / 2.089亿份
资产规模,1.54亿元（截止至：2025年06月30日）份额规模1.387亿份（截止至：2025年06月30日）,份额规模,1.387亿份（截止至：2025年06月30日）
基金管理人,华宝基金,基金托管人,交通银行
基金经理人,周晶、杨洋,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.40%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,经人民币汇率调整的恒生指数收益率×65%+经人民币汇率调整的标普500指数收益率×15%+境内银行活期存款利率(税后)×20%,跟踪标的,该基金无跟踪标的
