基金全称,中航量化阿尔法六个月持有期股票型证券投资基金,基金简称,中航量化阿尔法六个月持有C
基金代码,011935（前端）基金类型股票型,基金类型,股票型
发行日期,2021年08月02日,成立日期/规模,2021年08月25日 / 3.292亿份
资产规模,1.10亿元（截止至：2025年06月30日）份额规模1.2696亿份（截止至：2025年06月30日）,份额规模,1.2696亿份（截止至：2025年06月30日）
基金管理人,中航基金,基金托管人,招商银行
基金经理人,龙川、杨扬,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.60%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,0.00%（前端）
业绩比较基准,中证500指数收益率*85%+中证综合债券指数收益率*15%,跟踪标的,该基金无跟踪标的
