基金全称,招商稳健优选股票型证券投资基金,基金简称,招商稳健优选股票A
基金代码,004784（前端）基金类型股票型,基金类型,股票型
发行日期,2017年08月21日,成立日期/规模,2017年09月20日 / 3.282亿份
资产规模,2.78亿元（截止至：2025年06月30日）份额规模1.0194亿份（截止至：2025年06月30日）,份额规模,1.0194亿份（截止至：2025年06月30日）
基金管理人,招商基金,基金托管人,建设银行
基金经理人,陈西中,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）天天基金优惠费率：0.12%（前端）
业绩比较基准,沪深300指数收益率*80%+中债综合指数收益率*20%,跟踪标的,该基金无跟踪标的
