基金全称,建信福泽裕泰混合型基金中基金(FOF),基金简称,建信福泽裕泰混合(FOF)C
基金代码,005926（前端）基金类型FOF-进取型,基金类型,FOF-进取型
发行日期,2019年05月06日,成立日期/规模,2019年06月05日 / 2.144亿份
资产规模,0.16亿元（截止至：2025年09月30日）份额规模0.1109亿份（截止至：2025年09月30日）,份额规模,0.1109亿份（截止至：2025年09月30日）
基金管理人,建信基金,基金托管人,中信银行
基金经理人,孙悦萌,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.10%（每年）
销售服务费率,0.40%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,80%×中证800指数收益率+20%×中债综合财富指数收益率,跟踪标的,该基金无跟踪标的
